Source,Target
31279,4109331
31279,412711
31279,4151521
31279,4208120
31279,4382451
31279,4382718
31279,4698421
31279,4982517
31279,5319766
31279,5320621
31279,5492991
31279,5499791
31279,5786359
31279,5786360
31279,5855881
31279,5967609
31279,1251927
31280,945612
31280,562153
31280,1054829
31280,1168208
31280,1187724
31280,1197719
31280,1197722
31280,1239025
31280,4352737
31280,4470446
31280,4558349
31280,4561911
31280,4581912
31280,4593438
31280,4645475
31280,4721047
31280,4797932
31280,4822041
31280,4823673
31280,4916778
31280,4918323
31280,5030269
31280,5104968
31280,5167402
31280,5233454
31280,5244747
31280,5246555
31280,5256997
31280,5263746
31280,5266159
31280,5638661
31280,6067547
31280,19010
31280,145470
31280,178018
31280,193483
31280,200289
31280,202372
31280,209477
31280,323861
31280,407330
31280,560240
31280,985710
31282,13039601
31282,1268820
31282,14143354
31282,14143355
31282,14192356
31282,199099
31282,241363
31282,4102906
31282,4131046
31282,4152017
31282,4270890
31282,4353012
31282,4358460
31282,4388215
31282,4432914
31282,4718082
31282,4724850
31282,4806975
31282,4817824
31282,4843531
31282,4856036
31282,4861230
31282,5017287
31282,5023834
31282,5046798
31282,5132784
31282,5687604
31282,5774264
31282,862149
31282,877547
31282,881781
31282,881782
31282,954636
31282,1009530
31282,1020054
31282,1130274
31282,1159813
31282,1175165
31282,1211314
31282,135884
31287,822138
31287,13228243
31287,4858409
31287,176719
31287,162946
31287,166785
31287,174229
31287,874171
31287,170018
31287,5469613
31287,9771
31287,4132184
31287,162947
31287,811772
31287,607780
31287,5548678
31287,5060184
31287,168990
31295,4351303
31295,4315350
31295,4324340
31295,174103
31295,5035688
31295,179472
31295,174744
31295,4342220
31295,9937
31295,5834239
31295,4353626
31295,4357877
31295,191091
31295,4292417
31295,14907713
31295,16655
31296,839653
31296,5462768
31296,4584834
31296,977649
31296,1198549
31296,1142742
31296,1202017
31297,5496386
31297,5345207
31297,976322
31297,4687129
31297,4276197
31297,1242132
31297,5782836
31297,5481708
31297,5057629
31297,14268510
31297,4208351
31297,4814607
31351,13681121
31351,4237904
31351,140652
31351,145861
31351,146257
31351,146602
31351,4239369
31351,4334752
31351,4338270
31351,4339322
31351,4357440
31351,4577759
31351,4600886
31351,4830862
31351,5417177
31351,667693
31351,861240
31351,884075
31351,900943
31351,9978
31351,16562057
31351,177076
31351,23291
31351,240843
31351,26600
31351,268658
31351,4115981
31351,4149248
31351,4220810
31351,4224219
31351,13901576
31352,4150659
31352,1018319
31352,4402760
31352,4403443
31352,4403489
31352,4690593
31352,4901826
31352,16589539
31352,16659228
31352,1744
31352,4066
31352,7567
31352,8212
31352,14114
31352,16013
31352,21661
31352,21883
31352,239942
31352,4402645
31369,14080486
31369,14418893
31369,19543
31369,4391849
31369,21973
31369,4145340
31369,20575
31371,4150436
31371,4808929
31371,4398727
31371,12425
31371,240949
31371,237447
31371,239338
31410,5678459
31410,5425462
31410,61878
31410,624833
31410,63515
31410,807633
31410,979165
31410,1083300
31410,1087373
31410,1238506
31410,1266775
31410,1267193
31410,14263470
31410,167077
31410,17470
31410,299882
31410,300654
31410,338444
31410,4117026
31410,4131782
31410,4136039
31410,4213445
31410,4278108
31410,4401189
31410,4559169
31410,4585311
31410,4749414
31410,4863559
31410,5035320
31410,5163552
31410,5296893
31410,56873
31457,14100966
31457,185910
31457,301945
31457,13211989
31457,952920
31457,1085165
31457,4232348
31458,5070081
31458,5048308
31458,5077510
31458,5431014
31458,5499736
31458,5499737
31458,5553103
31458,5559622
31458,559291
31458,563051
31458,5765015
31458,5790223
31458,5838278
31458,5941264
31458,6479
31458,834775
31458,874904
31458,901784
31458,958476
31458,1202029
31458,1253984
31458,1272526
31458,13345
31458,13369165
31458,13598767
31458,13827993
31458,14012797
31458,14257858
31458,15047
31458,19556
31458,23429
31458,237121
31458,4303398
31458,4413721
31458,4421304
31458,4827753
31458,4838037
31458,4885777
31458,5071931
31463,1185607
31463,13449874
31463,31464
31463,4449076
31463,4617249
31463,5016037
31463,966178
31463,5460015
31463,5639799
31463,5780717
31463,5824109
31463,6040154
31463,915793
31463,54142
31464,1086357
31464,1113845
31464,4859532
31464,558594
31464,8657
31464,915793
31464,4752852
31464,994035
31464,1151871
31464,1271045
31464,31463
31464,4269811
31464,4544319
31464,966179
31465,1199962
31465,4988337
31465,13061491
31465,13871109
31465,164957
31465,172139
31465,174441
31465,182578
31465,182961
31465,185362
31465,185365
31465,186702
31465,188456
31465,236315
31465,236787
31465,4330379
31465,4343217
31465,4368377
31465,4371864
31465,4372093
31465,4399182
31465,1263509
31466,1174762
31466,984969
31466,13716738
31466,14305502
31466,186275
31466,4147330
31466,4150890
31466,4309892
31466,4316970
31466,4337865
31466,4345926
31466,4352765
31466,4383585
31466,4397760
31466,4455333
31466,4717154
31466,4788042
31466,5072226
31466,5275866
31466,599423
31466,6036405
31466,7711
31466,864616
31466,915800
31466,963343
31466,131853
31491,13731262
31491,4297187
31491,18889926
31491,4910247
31491,4620076
31491,5938419
31491,4330696
31491,14253450
31491,14482339
31491,14112319
31491,5038191
31491,4888176
31491,13731263
31542,4555898
31542,2317
31542,4424375
31542,811656
31542,974096
31542,4400080
31542,4154491
31542,4156174
31542,171266
31542,4384872
31542,4390102
31542,5114927
31542,938523
31542,4400363
31542,4399880
31542,13428781
31542,4390192
31542,8710
31542,4390101
31559,1098047
31559,20039
31559,13801633
31559,793623
31559,334544
31559,4628222
31559,4550849
31559,4590462
31559,4590449
31559,810348
31559,237903
31559,126228
31559,4634011
31559,5339763
31559,8011
31559,4698221
31559,5260941
31559,4147183
31559,4387714
31559,337164
31559,12959
31559,4598796
31559,5003928
31559,7450
31559,4550850
31559,4567805
31559,4943177
31559,786148
31559,1270444
31559,4946805
31559,20038
31559,11947235
31559,14149958
31559,1107031
31571,4141638
31571,723972
31571,5357388
31571,6055248
31571,13413162
31571,4232485
31571,13115625
31571,1143357
31571,4382592
31571,926026
31571,5689116
31571,4551675
31571,14354703
31571,4298238
31571,5679796
31571,991938
31571,14389657
31571,13413163
31571,14211124
31571,5434023
31571,14081661
31571,4930688
31571,5328391
31571,18567
31597,28514
31597,4766
31597,1171445
31597,4418449
31597,22063
31597,5786461
31597,13346
31597,19498
31597,564050
31597,241974
31597,4700632
31597,13362588
31597,127986
31597,4296673
31597,4798991
31597,787619
31597,98754
31597,172529
31597,5645865
31597,5167602
31597,13691014
31597,14974
31597,9835
31597,4357608
31597,13209842
31598,5479523
31598,564035
31598,5648744
31598,4425496
31598,2033
31598,5407454
31598,234081
31598,240127
31598,4413329
31598,5646390
31598,14152781
31598,1186851
31598,984401
31598,5465779
31598,1160998
31598,1089897
31598,4753150
31598,238041
31598,7291
31598,1118015
31598,5391252
31598,4611303
31598,5531027
31598,234958
31598,4139923
31602,204331
31602,14153518
31602,273896
31602,4364707
31602,4376422
31602,4427376
31602,4433702
31602,4453005
31602,4687151
31602,4730501
31602,4923749
31602,4937258
31602,5028516
31602,5361231
31602,5492018
31602,560221
31602,5760495
31602,623879
31602,623886
31602,673843
31602,764859
31602,809757
31602,843596
31602,880358
31602,1174677
31602,25418
31603,1019353
31603,836790
31603,1105070
31603,1175591
31603,1177318
31603,178312
31603,182041
31603,4509343
31603,4734663
31603,4891615
31603,4897330
31603,5126925
31603,5283756
31603,5380706
31603,5758559
31603,6008008
31603,71352
31603,1091302
31604,1092339
31604,990248
31604,1093140
31604,1195374
31604,13741242
31604,242005
31604,321043
31604,341991
31604,4425071
31604,4604935
31604,4831638
31604,4895946
31604,4909512
31604,4941644
31604,5338275
31604,6074964
31604,628441
31604,794489
31604,911390
31604,952888
31604,986168
31604,1092684
31605,1069279
31605,1005117
31605,1174661
31605,1267777
31605,13919530
31605,319947
31605,340956
31605,348233
31605,416437
31605,4502943
31605,4687151
31605,560060
31605,5644786
31605,5835937
31605,5980708
31605,623879
31605,851580
31605,896477
31605,938636
31605,948749
31605,1164735
31610,13766943
31610,991433
31610,14167675
31610,14471419
31610,178963
31610,236600
31610,4150354
31610,1026165
31610,1036743
31610,1092408
31610,1206303
31610,1247335
31610,13138607
31610,4186908
31610,4209172
31610,4396157
31610,4400504
31610,4610291
31610,5063658
31610,5073222
31610,5105218
31610,5289747
31610,773951
31610,78151
31610,825329
31610,946515
31610,14057623
31621,201286
31621,16742541
31621,176055
31621,27388
31621,27382
31621,23946
31621,22542
31621,20098
31621,17116
31621,15223
31621,12164
31621,9396
31621,2609
31621,14406363
31621,5551630
31621,5417390
31621,4962528
31621,4267054
31621,4232392
31621,1061146
31621,283393
31621,207580
31621,206463
31621,178381
31622,24477
31622,238530
31622,28224
31622,33382
31622,4144403
31622,4151516
31622,4152248
31622,4153363
31622,4154944
31622,4514988
31622,637852
31622,7785
31622,9027
31622,1120072
31622,1124931
31622,13641263
31622,15260
31622,20626
31622,237763
31622,24637
31650,4788212
31650,1126375
31650,16756
31650,10535
31650,4404948
31650,8700
31650,406633
31650,4262782
31650,956808
31650,4402775
31650,4394541
31650,1161985
31650,5302837
31650,13959421
31650,1148867
31650,5774043
31650,13463749
31650,15175
31650,5950056
31650,4626971
31650,5459056
31650,4392817
31651,137414
31651,4625012
31651,5112237
31651,4413316
31651,1250943
31651,240181
31651,1197574
31651,1223898
31651,4402652
31651,1171118
31651,408842
31651,5922318
31651,1115261
31651,4206608
31651,4418163
31651,4390822
31651,5031271
31651,991926
31651,11528
31651,4629822
31651,18152921
31651,4138622
31651,1097265
31651,5938473
31651,1097168
31704,13059861
31704,722380
31704,13396080
31704,13712348
31704,13882025
31704,14076034
31704,14084850
31704,14148745
31704,14308136
31704,14334752
31704,14917769
31704,15432613
31704,322503
31704,4336123
31704,4342509
31704,4724494
31704,4952079
31704,5492941
31704,5544580
31704,5907768
31704,5932934
31704,644538
31704,69020
31704,13062034
31705,1276666
31705,932342
31705,14023338
31705,14214046
31705,179751
31705,415542
31705,4266117
31705,4364926
31705,4645576
31705,4949100
31705,5410074
31705,55646
31705,5780103
31705,618943
31705,788565
31705,834703
31705,856387
31705,861158
31705,861159
31705,882947
31705,13723140
31736,793549
31736,1088023
31736,791537
31736,879029
31736,4273043
31736,1081242
31736,1086744
31736,303742
31736,4547869
31736,320398
31736,1013007
31736,1080973
31736,331107
31736,304126
31736,1080447
31736,1086909
31736,1078929
31736,4709535
31736,340942
31736,342136
31736,4546248
31736,4547326
31736,1080821
31736,4507062
31736,333584
31736,302693
31736,299722
31736,332368
31736,331109
31736,4709534
31736,73949
31736,4539837
31736,4539357
31736,240481
31736,4543580
31736,4546526
31736,302346
31736,304906
31736,4810017
31736,4813183
31736,300555
31737,24352
31737,1216159
31737,2983
31737,31808
31737,4827946
31740,4151282
31740,4146854
31740,5063805
31740,5016236
31740,4548201
31740,4109537
31740,14978858
31740,13760850
31740,4956450
31740,4156498
31740,4154441
31740,240470
31740,3900
31740,4281966
31740,4549561
31740,4114496
31740,4150882
31836,5052
31836,783110
31836,799474
31836,999950
31836,1080132
31836,1259406
31836,1259407
31836,1267441
31836,336612
31836,406095
31836,408030
31836,4198636
