Source,Target
7,10885091
7,11106086
7,11434754
7,11555193
7,11950176
7,12020172
7,12427501
7,12676044
7,12832592
7,12950418
7,14627335
7,14973986
7,15078424
7,15095142
7,15273078
7,15277068
7,15277076
7,15277090
7,15277109
7,15364646
7,15571467
7,15783241
7,15802416
7,15829470
7,15836459
7,15853441
7,15927926
7,15942912
7,16011454
7,16093238
7,16338199
7,16487688
7,16520304
7,16635970
7,16752934
7,16830309
7,16880367
7,17135164
7,17182489
7,17317655
7,17365137
7,17470951
7,17517355
7,17594991
7,17943819
7,18066129
7,18200670
7,18204101
7,18285310
7,1834807
7,18425916
7,18484782
7,18584321
7,18928139
7,18928148
7,18955223
7,18984078
7,19086008
7,19476742
7,19588398
7,19591529
7,19615308
7,19842218
7,20028328
7,20091597
7,20370653
7,21228727
7,21259185
7,21328257
7,21782365
7,21820672
7,21871125
7,22432518
7,22432564
7,22432635
7,22432689
7,22432729
7,22435354
7,22435415
7,22435615
8,11385576
8,12851870
8,15157825
8,15480983
8,15537905
8,15812518
8,16228179
8,16610046
8,16863561
8,17068223
8,17504508
8,17968351
8,18587394
8,18618634
8,18719139
8,18849966
8,19453248
8,19462429
8,19701189
8,19805227
8,19817673
8,19898471
8,19903424
8,19966812
8,20024904
8,20197757
8,20445446
8,20483763
8,20839313
8,21102463
8,2925048
8,3396969
8,8587604
8,8780562
8,9014768
11,12103268
11,15998820
11,16223744
11,16537784
11,16935866
11,17726042
11,17916139
11,19474111
11,19713422
11,9182479
12,17172600
12,18692016
12,19383750
12,19435768
12,21292716
12,21914758
12,22282817
12,23342404
12,23661281
14,12511946
14,14561301
14,14712274
14,16407945
15,16138488
15,17588971
15,18032643
15,20956413
15,21389060
15,21502273
15,22034695
15,9628051
16,10690869
16,14768652
16,15082524
16,16699294
16,17287480
16,18463033
16,19632967
16,19882253
16,20823463
16,21547511
16,21562920
16,21618498
16,22048862
16,22645185
17,20406861
19,11401608
19,11583120
19,12028801
19,14645763
19,14978178
19,15064036
19,15802723
19,16198837
19,16279964
19,16418469
19,17101617
19,17378860
19,17687138
19,17913782
19,18577559
19,18703659
19,19109120
19,19435119
19,19926689
19,19926690
19,20360220
19,20406861
19,20418546
19,20463332
19,20709715
19,21142528
19,21289212
19,21292720
19,21413472
19,21659780
19,21775971
19,22024188
19,22381521
19,22476327
19,9471932
19,9828034
20,18073269
20,18235161
20,19144931
20,9743776
22,16715038
22,17331245
22,20019168
22,20673605
22,20714143
22,21148028
22,21195518
22,22362062
22,22408153
22,22422536
22,23345468
22,23516690
23,11519656
23,15954509
23,18538207
23,19140997
23,19886098
24,18335672
27,10959070
27,15111519
27,16123479
27,16619733
27,16731270
